Englisch,Deutsch,Kategorie
station,Bahnhof,Reisen & Stadt
airport,Flughafen,Reisen & Stadt
bus stop,Haltestelle,Reisen & Stadt
hotel,Hotel,Reisen & Stadt
restaurant,Restaurant,Reisen & Stadt
cafe,Café,Reisen & Stadt
bank,Bank,Reisen & Stadt
post office,Post,Reisen & Stadt
supermarket,Supermarkt,Reisen & Stadt
shop,Geschäft,Reisen & Stadt
pharmacy,Apotheke,Reisen & Stadt
museum,Museum,Reisen & Stadt
park,Park,Reisen & Stadt
church,Kirche,Reisen & Stadt
car,Auto,Verkehr
bus,Bus,Verkehr
train,Zug,Verkehr
subway,U-Bahn,Verkehr
plane,Flugzeug,Verkehr
bicycle,Fahrrad,Verkehr
taxi,Taxi,Verkehr
ticket,Fahrkarte,Verkehr
trip,Reise,Reisen & Stadt
holiday,Urlaub,Reisen & Stadt
passport,Reisepass,Reisen & Stadt
luggage,Gepäck,Reisen & Stadt
map,Karte,Reisen & Stadt
job,Beruf,Arbeit & Beruf
work,Arbeit,Arbeit & Beruf
office,Büro,Arbeit & Beruf
company,Firma,Arbeit & Beruf
boss,Chef,Arbeit & Beruf
colleague,Kollege,Arbeit & Beruf
teacher,Lehrer,Arbeit & Beruf
student,Schüler,Arbeit & Beruf
nurse,Krankenschwester,Arbeit & Beruf
waiter,Kellner,Arbeit & Beruf
police officer,Polizist,Arbeit & Beruf
driver,Fahrer,Arbeit & Beruf
engineer,Ingenieur,Arbeit & Beruf
money,Geld,Finanzen
price,Preis,Finanzen
euro,Euro,Finanzen
dollar,Dollar,Finanzen
weather,Wetter,Natur & Wetter
sun,Sonne,Natur & Wetter
rain,Regen,Natur & Wetter
snow,Schnee,Natur & Wetter
wind,Wind,Natur & Wetter
cloud,Wolke,Natur & Wetter
sky,Himmel,Natur & Wetter
sea,Meer,Natur & Wetter
lake,See,Natur & Wetter
river,Fluss,Natur & Wetter
mountain,Berg,Natur & Wetter
forest,Wald,Natur & Wetter
tree,Baum,Natur & Wetter
flower,Blume,Natur & Wetter
animal,Tier,Tiere
dog,Hund,Tiere
cat,Katze,Tiere
bird,Vogel,Tiere
horse,Pferd,Tiere
be,sein,Verben
have,haben,Verben
do,tun,Verben
make,machen,Verben
go,gehen,Verben
come,kommen,Verben
see,sehen,Verben
look,schauen,Verben
hear,hören,Verben
listen,zuhören,Verben
speak,sprechen,Verben
talk,reden,Verben
say,sagen,Verben
tell,erzählen,Verben
ask,fragen,Verben
answer,antworten,Verben
read,lesen,Verben
write,schreiben,Verben
learn,lernen,Verben
teach,unterrichten,Verben
understand,verstehen,Verben
know,wissen,Verben
think,denken,Verben
want,wollen,Verben
like,mögen,Verben
love,lieben,Verben
eat,essen,Verben
drink,trinken,Verben
sleep,schlafen,Verben
wake up,aufwachen,Verben
buy,kaufen,Verben
sell,verkaufen,Verben
pay,bezahlen,Verben
help,helfen,Verben
give,geben,Verben
take,nehmen,Verben
bring,bringen,Verben
open,öffnen,Verben
close,schließen,Verben
start,anfangen,Verben
stop,anhalten,Verben
finish,beenden,Verben
wait,warten,Verben
work,arbeiten,Verben
live,leben,Verben
travel,reisen,Verben
drive,fahren,Verben
walk,spazieren,Verben
run,rennen,Verben
swim,schwimmen,Verben
play,spielen,Verben
sing,singen,Verben
meet,treffen,Verben
find,finden,Verben
search,suchen,Verben
stay,bleiben,Verben
leave,verlassen,Verben
put,legen,Verben
stand,stehen,Verben
sit,sitzen,Verben
call,anrufen,Verben
need,brauchen,Verben
try,versuchen,Verben
cost,kosten,Verben
good,gut,Adjektive
bad,schlecht,Adjektive
big,groß,Adjektive
small,klein,Adjektive
new,neu,Adjektive
old,alt,Adjektive
young,jung,Adjektive
fast,schnell,Adjektive
slow,langsam,Adjektive
hot,heiß,Adjektive
cold,kalt,Adjektive
warm,warm,Adjektive
clean,sauber,Adjektive
dirty,schmutzig,Adjektive
easy,einfach,Adjektive
difficult,schwierig,Adjektive
cheap,billig,Adjektive
expensive,teuer,Adjektive
beautiful,schön,Adjektive
ugly,hässlich,Adjektive
happy,glücklich,Adjektive
sad,traurig,Adjektive
tired,müde,Adjektive
hungry,hungrig,Adjektive
thirsty,durstig,Adjektive
full,voll,Adjektive
empty,leer,Adjektive
light,hell,Adjektive
dark,dunkel,Adjektive
heavy,schwer,Adjektive
strong,stark,Adjektive
weak,schwach,Adjektive
loud,laut,Adjektive
quiet,leise,Adjektive
right,richtig,Adjektive
wrong,falsch,Adjektive
important,wichtig,Adjektive
free,frei,Adjektive
ready,fertig,Adjektive
what,was,Fragewörter
who,wer,Fragewörter
where,wo,Fragewörter
when,wann,Fragewörter
why,warum,Fragewörter
how,wie,Fragewörter
how much,wie viel,Fragewörter
how many,wie viele,Fragewörter
which,welche,Fragewörter
here,hier,Ortsangaben
there,dort,Ortsangaben
left,links,Ortsangaben
right,rechts,Ortsangaben
straight ahead,geradeaus,Ortsangaben
up,oben,Ortsangaben
down,unten,Ortsangaben
inside,drinnen,Ortsangaben
outside,draußen,Ortsangaben
in front of,vor,Ortsangaben
behind,hinter,Ortsangaben
between,zwischen,Ortsangaben
next to,neben,Ortsangaben
near,nah,Ortsangaben
far,weit,Ortsangaben
